web-scraper-order,web-scraper-start-url,heading,date,description,pagination,pagination-href
1520597790-686,https://news.bitcoin.com/?s=bitcoin+government+bank,"ICOs Brush Off Regulatory Concerns, Raising $1 Billion for the Third Month in a...",9-Mar-18,"Despite all the talk of increased regulation and looming lawsuits, ICOs seem immune. Many new tokens are struggling to trade above their ICO price...",70,https://news.bitcoin.com/page/70/?s=bitcoin+government+bank
1520597625-2,https://news.bitcoin.com/?s=bitcoin+government+bank,Regulatory Loophole Helps Startups in India Accept Bitcoin Without Breaking the Law,8-Mar-18,Some businesses in India believe that they have found a loophole in the finance minister's speech that sought to clamp down on the use...,,
1520597625-3,https://news.bitcoin.com/?s=bitcoin+government+bank,Ex-Trump Chief Strategist Bannon: Cryptocurrencies Make Central Banks Redundant,8-Mar-18,Bitcoin has always been considered by its staunch supporters a tool to bring about personal financial freedom from government control and censorship as well...,,
1520597790-688,https://news.bitcoin.com/?s=bitcoin+government+bank,Venezuela Picks FX Platform to Auction Petro ‘Oil-Backed Cryptocurrency’,7-Mar-18,"Venezuela has chosen a platform on which to auction its “oil-backed cryptocurrency”, the petro. While the country's National Assembly has repeatedly declared this new...",70,https://news.bitcoin.com/page/70/?s=bitcoin+government+bank
1520597625-4,https://news.bitcoin.com/?s=bitcoin+government+bank,Kaliningrad Offers Tax Breaks to Attract Bitcoiners,5-Mar-18,"Crypto regulations have not been adopted in Russia yet, but a string of words and deeds suggests that Moscow may take full advantage of...",,
1520597790-689,https://news.bitcoin.com/?s=bitcoin+government+bank,Korea’s Mandatory Crypto Real-Name System Neglected – 19% Conversion Rate,5-Mar-18,"South Korea’s real-name system for cryptocurrency trading has been enforced for over a month, but most accounts have not been converted to the new...",70,https://news.bitcoin.com/page/70/?s=bitcoin+government+bank
1520597625-5,https://news.bitcoin.com/?s=bitcoin+government+bank,This Week in Bitcoin: Courtroom Drama,5-Mar-18,"Bitcoin was born on the internet but destined to end up in court. Where there’s money, there’s a trail of gold-diggers, scammers, and slighted...",,
1520597792-691,https://news.bitcoin.com/?s=bitcoin+government+bank,Two Indian Token Marketplaces Suspend Trading Due to Regulatory Pressure,4-Mar-18,Two Indian crypto token marketplaces have announced that they will halt trading from March 5. The platforms state that this is due to regulatory...,71,https://news.bitcoin.com/page/71/?s=bitcoin+government+bank
1520597790-690,https://news.bitcoin.com/?s=bitcoin+government+bank,New Malaysian Cryptocurrency Regulation Come Into Effect,4-Mar-18,"Last week, Malaysia’s new Anti-Money Laundering and Counter Financing of Terrorism (AML/CFT) policy guidelines specifically addressing cryptocurrencies came into effect. The new regulations compel...",70,https://news.bitcoin.com/page/70/?s=bitcoin+government+bank
1520598570-1211,https://news.bitcoin.com/?s=ripple+government+bank,Two Indian Token Marketplaces Suspend Trading Due to Regulatory Pressure,4-Mar-18,Two Indian crypto token marketplaces have announced that they will halt trading from March 5. The platforms state that this is due to regulatory...,,
1520597792-694,https://news.bitcoin.com/?s=bitcoin+government+bank,Talking About Decentralization Is Easy – Achieving It Is Hard,3-Mar-18,"Browsing the latest cryptocurrency projects, it would be easy to conclude that decentralization is a panacea; a cure for humanity’s financial woes. It must...",71,https://news.bitcoin.com/page/71/?s=bitcoin+government+bank
1520597792-692,https://news.bitcoin.com/?s=bitcoin+government+bank,Belgian Tax Authority Going After Crypto Investors,3-Mar-18,Cryptocurrency investments have attracted the attention of tax authorities in Belgium. Several investigations have been opened into cases of Belgian citizens who have traded...,71,https://news.bitcoin.com/page/71/?s=bitcoin+government+bank
1520597625-6,https://news.bitcoin.com/?s=bitcoin+government+bank,Rebel Bitcoiners in Ecuador Open First Crypto ATMs,3-Mar-18,"The government of Ecuador launched an all-out war on cryptocurrency about four years ago, even going so far as to push its own state-backed...",,
1520597792-693,https://news.bitcoin.com/?s=bitcoin+government+bank,Wendy McElroy: Silence and Soul in the Crypto Cold War – the Evolution of...,3-Mar-18,"The Satoshi Revolution: A Revolution of Rising Expectations.
Section 2: The Moral Imperative of Privacy
Chapter 6: Privacy is a Prerequisite of Human Rights

Silence and Soul...",71,https://news.bitcoin.com/page/71/?s=bitcoin+government+bank
1520597792-698,https://news.bitcoin.com/?s=bitcoin+government+bank,Crypto Tax Breaks Proposed by Officials in Russia,2-Mar-18,Tax exemptions on profits from crypto-related transactions have been proposed during a meeting at the Ministry of Economic Development of Russia. Participants also called...,71,https://news.bitcoin.com/page/71/?s=bitcoin+government+bank
1520597792-696,https://news.bitcoin.com/?s=bitcoin+government+bank,Russian Ministry Offers to Set Up Crypto Exchange for Miners,2-Mar-18,"Russia’s Ministry of Telecom and Mass Communications has put forward the idea to set up a cryptocurrency exchange, where Russian miners can trade their...",71,https://news.bitcoin.com/page/71/?s=bitcoin+government+bank
1520597625-7,https://news.bitcoin.com/?s=bitcoin+government+bank,16 Government-Approved Crypto Exchanges Forming Self-Regulatory Body in Japan,2-Mar-18,"16 cryptocurrency exchanges that have been approved by the Japanese government are teaming up to form a self-regulatory group, following the hack of one...",,
1520597625-8,https://news.bitcoin.com/?s=bitcoin+government+bank,Germany Treads Lightly on Bitcoin Taxation,2-Mar-18,"Germany is taking a lead within European Union established economies, deciding upon slow regulation when it comes to the world’s most popular cryptocurrency, bitcoin....",,
1520597792-695,https://news.bitcoin.com/?s=bitcoin+government+bank,Data Company Tracks Crypto-Adoption Using Social Media,2-Mar-18,"Just recently the audience intelligence company, Pulsar, published a report examining the mainstream adoption of cryptocurrencies. Rather than measure interest using prices, trade volume,...",71,https://news.bitcoin.com/page/71/?s=bitcoin+government+bank
1520597792-697,https://news.bitcoin.com/?s=bitcoin+government+bank,China’s Police Force Reveals Offshore Exchange Surveillance,2-Mar-18,"According to regional reports, China’s police agency is allegedly monitoring cryptocurrency exchanges based outside of the country. An informant details that China's Public Information...",71,https://news.bitcoin.com/page/71/?s=bitcoin+government+bank
1520598499-1199,https://news.bitcoin.com/?s=ethereum+government+bank,Data Company Tracks Crypto-Adoption Using Social Media,2-Mar-18,"Just recently the audience intelligence company, Pulsar, published a report examining the mainstream adoption of cryptocurrencies. Rather than measure interest using prices, trade volume,...",2,https://news.bitcoin.com/page/2/?s=ethereum+government+bank
1520598570-1212,https://news.bitcoin.com/?s=ripple+government+bank,Data Company Tracks Crypto-Adoption Using Social Media,2-Mar-18,"Just recently the audience intelligence company, Pulsar, published a report examining the mainstream adoption of cryptocurrencies. Rather than measure interest using prices, trade volume,...",,
1520597794-701,https://news.bitcoin.com/?s=bitcoin+government+bank,Offshore Tax Haven Marshall Islands to Issue National Cryptocurrency,1-Mar-18,"A small island nation with less than 60,000 inhabitants best known internationally as a former test site for nuclear weapons is joining the hottest...",72,https://news.bitcoin.com/page/72/?s=bitcoin+government+bank
1520597792-700,https://news.bitcoin.com/?s=bitcoin+government+bank,Ukraine’s Financial Watchdog Clarifies Stance on Cryptos,1-Mar-18,The State Financial Monitoring Service of Ukraine has published its official position on crypto matters. While offering some borrowed definitions of terms like virtual...,71,https://news.bitcoin.com/page/71/?s=bitcoin+government+bank
1520597792-699,https://news.bitcoin.com/?s=bitcoin+government+bank,Thai Regulators in Race With Growing Popularity of Token Sales,1-Mar-18,The Thai government is concerned with the growing number of companies in Thailand racing to launch their initial coin offerings ahead of regulations. This...,71,https://news.bitcoin.com/page/71/?s=bitcoin+government+bank
1520597625-10,https://news.bitcoin.com/?s=bitcoin+government+bank,Court Strikes Down Ban on 40 Bitcoin Sites in Russia,1-Mar-18,Saint Petersburg City Court has struck down a ban on 40 bitcoin related websites offering information about cryptocurrencies and exchange services in Russia. The...,,
1520597625-9,https://news.bitcoin.com/?s=bitcoin+government+bank,Dutch Bank That Once Called Bitcoin ‘High Risk’ Considers Building Crypto-Wallet,1-Mar-18,"A Dutch multinational financial provider, Rabobank has announced the possible introduction of a ‘cryptocurrency wallet’ tethered to the company’s banking services. The news follows...",,
1520597898-1076,https://news.bitcoin.com/?s=bitcoin+government+bank,US Bitcoin Futures Regulator Allows Employees to Trade Crypto,1-Mar-18,"While private businesses all over the world struggle with employees so much as possessing cryptocurrency, the US Commodity Futures Trading Commission (CFTC) has reportedly...",2,https://news.bitcoin.com/page/2/?s=bitcoin+government+bank
1520597794-702,https://news.bitcoin.com/?s=bitcoin+government+bank,Swiss Stock Exchange Chairman Advocates National Cryptocurrency,28-Feb-18,"The chairman of Switzerland’s stock exchange, Romeo Lacher, has spoken in favor of developing a Swiss national cryptocurrency. Mr. Lacher suggested that the proposed...",72,https://news.bitcoin.com/page/72/?s=bitcoin+government+bank
1520597898-1079,https://news.bitcoin.com/?s=bitcoin+government+bank,Israeli Supreme Court Forbids Bank From Denying Service to Bitcoin Exchange,27-Feb-18,The Supreme Court of Israel issued a temporary injunction order on Monday forbidding Bank Leumi from sweepingly halting the account activity of the Bits...,2,https://news.bitcoin.com/page/2/?s=bitcoin+government+bank
1520597794-704,https://news.bitcoin.com/?s=bitcoin+government+bank,Justice Dept Looks to Develop ‘Cryptocurrency Strategy’,27-Feb-18,"Over the past few months, the U.S. government and its special agencies have been ramping up their efforts to try to regulate bitcoin and...",72,https://news.bitcoin.com/page/72/?s=bitcoin+government+bank
1520597794-703,https://news.bitcoin.com/?s=bitcoin+government+bank,"35 Countries, EU and FATF Agree to Revise Global Cryptocurrency Standards",27-Feb-18,"Thirty-five countries and the European Commission have asked the Financial Action Task Force (FATF), responsible for setting global anti-money laundering (AML) policies, to revise...",72,https://news.bitcoin.com/page/72/?s=bitcoin+government+bank
1520597898-1077,https://news.bitcoin.com/?s=bitcoin+government+bank,Another Thai Bank Shuts Down Accounts of Local Crypto Exchange,27-Feb-18,Another major Thai bank is reportedly terminating transactions involving cryptocurrencies through the bank accounts of a local crypto exchange. This decision follows a similar...,2,https://news.bitcoin.com/page/2/?s=bitcoin+government+bank
1520597898-1078,https://news.bitcoin.com/?s=bitcoin+government+bank,Apple Co-Founder Steve Wozniak’s Bitcoin Stolen,27-Feb-18,"Last year, Apple’s co-founder Steve Wozniak (Woz) revealed he’d purchased bitcoin, likening it to being better than gold. And then, months later, Woz announced...",2,https://news.bitcoin.com/page/2/?s=bitcoin+government+bank
1520597794-705,https://news.bitcoin.com/?s=bitcoin+government+bank,"Bitpay Bans Payments to Merchants of Explicit Content, Cloud-Mining and Gambling",26-Feb-18,"Bitcoin was originally created to free people's money from the control and censorship of regulators, banks and governments. Companies in the ecosystem are supposed...",72,https://news.bitcoin.com/page/72/?s=bitcoin+government+bank
1520597794-706,https://news.bitcoin.com/?s=bitcoin+government+bank,Poland Refutes Reports of Its Interest in Venezuela’s Oil-Backed Cryptocurrency,26-Feb-18,"Poland's Ministry of Finance has refuted reports that it is interested in the petro, the Venezuelan ”oil-backed” currency. Earlier this month, Venezuela reportedly claimed...",72,https://news.bitcoin.com/page/72/?s=bitcoin+government+bank
1520597898-1080,https://news.bitcoin.com/?s=bitcoin+government+bank,Poll: Bitcoin More Popular With Czechs than the Euro,26-Feb-18,"Czechs are more inclined to store value in cryptos than in euros, according to a new poll gauging attitudes toward currencies other than the...",2,https://news.bitcoin.com/page/2/?s=bitcoin+government+bank
1520597898-1081,https://news.bitcoin.com/?s=bitcoin+government+bank,Thai Bank Terminates Account of Local Cryptocurrency Exchange,25-Feb-18,"A major bank in Thailand has reportedly terminated the bank account of a local cryptocurrency exchange, following an announcement by the central bank prohibiting...",2,https://news.bitcoin.com/page/2/?s=bitcoin+government+bank
